phi	theta	svalue
135	50	0.120475172975173
135	55	0.332579446479446
135	60	0.587526448243115
135	65	0.763788841405508
135	70	0.711756975308642
135	75	0.329189074074074
135	80	-0.0788375341130604
135	85	-0.344151226923518
135	90	-0.411067455229118
135	95	-0.160223009324146
135	100	0.0867022443328723
135	105	0.364718472638473
135	110	0.410828412698413
135	115	0.588330555555556
135	120	0.677625
135	125	0.631825
135	130	0.287257142857143
135	135	0.127644444444444
135	140	-0.00413888888888889
135	145	-0.00413888888888889
135	150	-0.0700722222222222
135	155	-0.379008333333333
135	160	-0.67240462962963
135	165	100
135	170	100
135	175	100
135	180	100
140	5	100
140	10	100
140	15	100
140	20	-0.472099431818182
140	25	-0.773821717171717
140	30	-1.04063736531987
140	35	-0.827091838624339
140	40	-0.375895542328042
140	45	0.0587031265031265
140	50	0.238770518588166
140	55	0.26400565628997
140	60	0.318288684989665
140	65	0.339361927825261
140	70	0.192292443718228
140	75	-0.235218050108932
140	80	-0.590371383442266
140	85	-0.778787037037037
140	90	-0.656094479812922
140	95	-0.204309181777624
140	100	0.24833960129116
140	105	0.453713710733711
140	110	0.329995079365079
140	115	0.377549074074074
140	120	0.571805208333333
140	125	0.746967708333333
140	130	0.580025
140	135	0.336555555555556
140	140	0.132555555555556
140	145	0.05
140	150	0.0374857142857143
140	155	-0.205388544973545
140	160	-0.485155211640212
140	165	-0.747796041666667
140	170	100
140	175	100
140	180	100
145	5	100
145	10	100
145	15	100
145	20	-0.467085050505051
145	25	-0.801585050505051
145	30	-1.09180700817701
145	35	-0.71042037037037
145	40	-0.206501851851852
145	45	0.169645824915825
145	50	0.202651165718813
145	55	0.0653539253411802
145	60	-0.00701586782861295
145	65	-0.152843907044299
145	70	-0.291974958940841
145	75	-0.533839773755656
145	80	-0.676121413967296
145	85	-0.726443862433862
145	90	-0.558559780019961
145	95	-0.15295044861063
145	100	0.243911773611593
145	105	0.309927691197691
145	110	0.122096666666667
145	115	0.127555555555556
145	120	0.450288888888889
145	125	0.773022222222222
145	130	0.783444444444444
145	135	0.521177777777778
145	140	0.258911111111111
145	145	0.0938
145	150	0.0754457142857143
145	155	-0.0755239153439154
145	160	-0.363470828924162
145	165	-0.639483209876543
145	170	100
145	175	100
145	180	100
150	5	100
150	10	100
150	15	100
150	20	-0.538847654320988
150	25	-0.821458692810458
150	30	-0.972833366531798
150	35	-0.514895213573645
150	40	-0.130348141133558
150	45	0.161655613506863
150	50	0.124017519966417
150	55	-0.0639913275540727
150	60	-0.321762260325005
150	65	-0.569581208631601
150	70	-0.621550253058488
150	75	-0.655764640522876
150	80	-0.651725365701836
150	85	-0.655109417325388
150	90	-0.442785595486952
150	95	-0.0193456639587854
150	100	0.249712344426959
150	105	0.259293650793651
150	110	0.0236666666666667
150	115	0.033425
150	120	0.3965
150	125	0.759575
150	130	0.8806
150	135	0.632933333333333
150	140	0.385266666666667
150	145	0.1376
150	150	0.102564232804233
150	155	0.0248480423280423
150	160	-0.27325442680776
150	165	-0.54718532627866
150	170	100
150	175	100
150	180	100
155	5	100
155	10	100
155	15	-0.150674861111111
155	20	-0.411190987654321
155	25	-0.66894091503268
155	30	-0.751019641041602
155	35	-0.403759641041602
155	40	-0.0899607167496628
155	45	0.131105445156695
155	50	0.104735157666408
155	55	-0.0971941836812425
155	60	-0.338214952912012
155	65	-0.544259665421724
155	70	-0.555071832579186
155	75	-0.526675232389252
155	80	-0.510572867899596
155	85	-0.537850205322317
155	90	-0.267741341853102
155	95	0.0957524047683532
155	100	0.235482130325815
155	105	0.119427777777778
155	110	-0.0876
155	115	-0.0472583333333333
155	120	0.315816666666667
155	125	0.678891666666667
155	130	0.8806
155	135	0.632933333333333
155	140	0.385266666666667
155	145	0.0432467592592592
155	150	-0.0114642647058824
155	155	-0.07066296230458
155	160	-0.214604873626471
155	165	-0.468860516327996
155	170	-0.718628485395965
155	175	100
155	180	100
160	5	100
160	10	100
160	15	-0.085625873015873
160	20	-0.257739206349206
160	25	-0.537765676937442
160	30	-0.564233331517792
160	35	-0.268813331517792
160	40	-0.0504630183369644
160	45	0.130001754680505
160	50	0.0612817236004736
160	55	-0.0476264576164576
160	60	-0.172808073408073
160	65	-0.296696375661376
160	70	-0.325204738562092
160	75	-0.326312925234492
160	80	-0.329968467858299
160	85	-0.380934380779595
160	90	-0.170351788649105
160	95	0.104227642863591
160	100	0.202302923976608
160	105	0.0841888888888889
160	110	-0.0876
160	115	-0.0876
160	120	0.275475
160	125	0.63855
160	130	0.8806
160	135	0.69485
160	140	0.3054625
160	145	-0.17792349877451
160	150	-0.242676225490196
160	155	-0.21384158975556
160	160	-0.198580051549492
160	165	-0.379384309818456
160	170	-0.618730056664203
160	175	100
160	180	100
165	5	100
